Customer.name,Location.name,Location.city,Unit.name,Unit.slug,Component.slug,Inspection.slug,Component.wall_nominal_thickness,Component.wall_warning_thickness,Component.coating_nominal_thickness
Xcel Energy,Xcel - Plant X,Earth,Tube Sample,waterwalls-898ecc,test-tubes-3dbe40,20200107-ed0eb2,0.3,0.2,0
Vistra Luminant Energy,Joppa,Joppa,Unit 6,unit-6-0dff35,waterwalls-6741a2,20191227-581e28,0.28,0.168,0
Vistra Luminant Energy,Joppa,Joppa,Unit 6,unit-6-0dff35,lower-arch-ed5469,20191227-79f87d,0.28,0.168,0
Vistra Luminant Energy,Joppa,Joppa,Unit 6,unit-6-0dff35,roof-21ba11,20191227-e83248,0.28,0.168,0
Vistra Luminant Energy,Joppa,Joppa,PC Boiler,pc-boiler-42f77e,waterwalls-a0e804,20191206-d4c842,0.28,0.18,0
Dominion,Mt. Storm,Mt. Storm,Unit 1,lower-slopes-41bae4,lower-slope-front-18af34,20191120-0b0bfd,0.188,0.12,0
Dominion,Mt. Storm,Mt. Storm,Unit 1,lower-slopes-41bae4,lower-slope-front-a1ca9d,20191120-bdefec,0.188,0.12,0
ALCOA,Alumar,Sao Luis,Unit 21,waterwalls-4964a2,side-walls-14461c,20191108-3ed973,5.588,4.4704,0
ALCOA,Alumar,Sao Luis,Unit 21,waterwalls-4964a2,sh-s2-wingwall-46e98f,20191108-c1c40d,5.08,3.06,0
ALCOA,Alumar,Sao Luis,Unit 21,waterwalls-4964a2,evaporator-wing-walls-9e7a7d,20191108-739b05,5.56,3.5,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-1-2-3f0bc5,20191105-d67eab,0.195,0.125,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-3-205c2c,20191105-57f678,0.195,0.125,0
ALCOA,Warrick Power Station,Newburgh,Unit 3 Boiler,unit-3-boiler-083936,rear-lower-slope-adc091,20191029-a3c2f0,0.24,0.18,0
ALCOA,Warrick Power Station,Newburgh,Unit 3 Boiler,unit-3-boiler-083936,division-wall-2a18ce,20191029-6b9000,0.24,0.18,0
ALCOA,Warrick Power Station,Newburgh,Unit 3 Boiler,unit-3-boiler-083936,waterwalls-e07e36,20191029-ef66f9,0.24,0.15,0
Southern Co,Plant Wansley,Carrollton,Unit 2,unit-2-0d40cc,coutant-slopes-f461c3,20191023-16251f,0.22,0.14,0
ALCOA,Warrick Power Station,Newburgh,Unit 1 Boiler,unit-3-boiler-253e7f,waterwalls-1ea4fd,20191023-8a4efe,0.24,0.18,0
ALCOA,Warrick Power Station,Newburgh,Unit 1 Boiler,unit-3-boiler-253e7f,lower-arch-6c6137,20191023-7458f7,0.24,0.18,0
ALCOA,Warrick Power Station,Newburgh,Unit 1 Boiler,unit-3-boiler-253e7f,lower-slopes-a14634,20191023-2954cf,0.24,0.18,0
ALCOA,Warrick Power Station,Newburgh,Unit 1 Boiler,unit-3-boiler-253e7f,division-wall-e71dee,20191024-bc2166,0.24,0.18,0
Southern Co,Plant Wansley,Carrollton,Unit 2,unit-2-0d40cc,waterwalls-c0785a,20191025-66237d,0.22,0.13,0
Southern Co,Plant Wansley,Carrollton,Unit 2,unit-2-0d40cc,division-wall-f2da46,20191028-38d766,0.281,0.2,0
Vistra Luminant Energy,Miami Fort,North Bend,Boiler 7,boiler-7-98142b,lower-slopes-76b217,20191021-9c7f4b,0.24,0.17,0
AES,Harding Street Generating Station,Indianapolis,Unit 7,unit-7-2f3456,waterwalls-4c9846,20191014-d02213,0.24,0.192,0
AES,Harding Street Generating Station,Indianapolis,Unit 7,unit-7-2f3456,slopes-2cfc14,20191014-e4ffb4,0.24,0.192,0
Cardinal,Cardinal Power Plant,"Brilliant, OH",Unit 2,unit-2-85d197,waterwalls-57d701,20191014-e080b6,0.237,0.17,0
Cardinal,Cardinal Power Plant,"Brilliant, OH",Unit 2,unit-2-85d197,lower-slopes-e38aaa,20191014-cb7afc,0.237,0.19,0
Great River Energy,Spiritwood,Spiritwood,Boiler 1,boiler-1-ee54d2,waterwalls-32839e,20191013-7e72e1,0.24,0.17,0.015
Great River Energy,Spiritwood,Spiritwood,Boiler 1,boiler-1-ee54d2,division-walls-ae7e67,20191013-76e6d9,0.24,0.17,0.015
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,waterwalls-2ae2c0,20191008-6407c4,0.21,0.15,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,wingwalls-2bcf71,20191008-6ee89d,0.21,0.15,0
Southern Co,Plant Wansley,Carrollton,Unit 1,unit-1-2f0456,waterwalls-977be7,20191008-734139,0.22,0.143,0
Southern Co,Plant Wansley,Carrollton,Unit 1,unit-1-2f0456,coutant-slopes-c2c4e7,20191007-7740c8,0.22,0.18,0
Southern Co,Plant Wansley,Carrollton,Unit 1,unit-1-2f0456,division-wall-0b4efc,20191008-ea213c,0.281,0.2,0
Southern Co,Plant Wansley,Carrollton,Unit 1,unit-1-2f0456,bull-nose-arch-a78ceb,20191008-acc7f3,0.22,0.14,0
Kentucky Utilities,Ghent Generating Station,Ghent,Unit 2,unit-2-3cfa1a,waterwalls-e7688b,20190923-b6fbd7,0.22,0.15,0
Kentucky Utilities,Ghent Generating Station,Ghent,Unit 2,unit-2-3cfa1a,lower-slopes-968292,20190924-87d0f8,0.188,0.12,0
Southern Co,Plant Yates,Newnan,Unit 6,unit-6-0f16c9,coutant-slopes-99264e,20190920-f6a1e7,0.188,0.12,0
Southern Co,Plant Yates,Newnan,Unit 6,unit-6-0f16c9,waterwalls-99ffd4,20190920-fd27a8,0.188,0.16,0
East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 1,unit-1-92c17f,waterwalls-3a99bb,20190909-681391,0.203,0.15,0
East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 1,unit-1-92c17f,slopes-6e386c,20190909-98dddb,0.203,0.15,0
Southern Co,Plant Yates,Newnan,Unit 7,unit-7-18512e,waterwalls-999338,20190906-bae75b,0.188,0.1,0
Southern Co,Plant Yates,Newnan,Unit 7,unit-7-18512e,coutant-slopes-0e4ffa,20190906-13ce98,0.188,0.1,0
Colorado Springs Utilities,Ray Nixon Power Station,Fountain,Unit 1,unit-1-88d259,waterwalls-8dffbe,20190905-586293,0.203,0.101,0
HECO,Kahe Power Plant,Kapolei,Unit 2,unit-2-cdf567,lower-slopes-aa9ae3,20190823-401c67,0.203,0.142,0
HECO,Kahe Power Plant,Kapolei,Unit 2,unit-2-cdf567,water-walls-320d18,20190823-cd5cfb,0.203,0.142,0
AES,Petersburg,Petersburg,Boiler U1,boiler-bb7dcf,horizontal-superheat-bundles-315666,20190820-e61a1f,0.203,0.15,0
AES,Petersburg,Petersburg,Unit 2,boiler-u2-774f1a,waterwalls-c6a00f,20190728-1e1c04,0.206,0.16,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,waterwalls-2e3bab,20190607-269711,0.28,0.22,0
AES,Hawaii,Kapolei,Unit B,boiler-b-2a16ff,waterwalls-6923b2,20190607-db1837,0.28,0.22,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,manway-2-ac330e,20190606-90e3f1,0,0,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,manway-3-c0f60a,20190607-dadf7e,0,0,0
AES,Hawaii,Kapolei,Unit B,boiler-b-2a16ff,manway-4-a66c33,20190607-29fd1e,0,0,0
AES,Hawaii,Kapolei,Unit B,boiler-b-2a16ff,manway-5-05910d,20190607-7f5ed7,0,0,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,manway-5-aa2da3,20190607-022baf,0,0,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,manway-6-f8bec6,20190607-72f43e,0,0,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,manway-7-65d1e0,20190607-8d3512,0,0,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,manway-8-19e7c9,20190607-843e89,0,0,0
AES,Hawaii,Kapolei,Unit A,boiler-a-934982,manway-9-6786e6,20190607-a8fef9,0,0,0
AES,Hawaii,Kapolei,Unit B,boiler-b-2a16ff,manway-6-6470c5,20190607-169c6f,0,0,0
AES,Hawaii,Kapolei,Unit B,boiler-b-2a16ff,manway-9-fe7ae2,20190607-67aae8,0,0,0
AES,Hawaii,Kapolei,Steamdrum A,steamdrum-a-ff8dd3,steamdrum-a-a473ba,20190607-264a83,0,0,0
AES,Hawaii,Kapolei,Steamdrum B,steamdrum-b-fba478,steamdrum-b-a924ef,20190607-a20128,0,0,0
AES,Plant Itabo,Santo Domingo,PC Boiler,waterwalls-393f7d,pc-boiler-1-ccf0ec,20190513-602dc6,0.229,0.18,0
AES,Plant Itabo,Santo Domingo,PC Boiler,waterwalls-393f7d,lower-slopes-23237c,20190515-7630f1,0.229,0.18,0
AES,Petersburg,Petersburg,Boiler U4,unit-4-boiler-48c567,boiler-8ec2af,20190508-bc9ac3,0.222,0.154,0
Basin Electric Power Cooperative,Antelope Valley Station,Beulah,Unit 2 - PC Boiler,unit-2-57951f,waterwalls-06ff12,20190501-34c58f,0.22,0.169,0
Basin Electric Power Cooperative,Antelope Valley Station,Beulah,Unit 2 - PC Boiler,unit-2-57951f,waterwalls-c6558c,20190501-61866f,0.22,0.143,0
Duke Energy,Cayuga,Cayuga,Waterwalls,waterwalls-e3923d,pc-boiler-650b69,20190426-a9effa,0.22,0.154,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,waterwalls-6eb75a,20190422-f7ee9c,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,superheater-elements-aa1f0e,20190422-79bca8,0.17,0.1485,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,evaporator-panels-0b33af,20190422-967037,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,boiler-roof-039fca,20190422-b0917f,0.3,0.234,0
Hallador Power Company,Merom Generating Station,Sullivan,Unit 1,unit-1-b4709b,waterwall-left-wall-e8046c,20190423-a5d1e7,0.385,0.25,0
Hallador Power Company,Merom Generating Station,Sullivan,Unit 1,unit-1-b4709b,waterwall-right-wall-6da800,20190424-04b2ab,0.385,0.25,0
Santee Cooper,Winyah,Georgetown,Unit 2 Boiler,unit-2-boiler-0cedf7,waterwalls-9552d4,20190416-ed7142,0.25,0.2,0
Santee Cooper,Winyah,Georgetown,Unit 2 Boiler,unit-2-boiler-0cedf7,lower-slopes-e28651,20190416-f4e0d2,0.2,0.16,0
Olympus Power,Panther Creek,Nesquehoning,CFB Boiler,cfb-boiler-21c2ef,toka4_waterwalls-c2fb9f,20190412-d45acf,0.221,0.18,0
Olympus Power,Panther Creek,Nesquehoning,CFB Boiler,cfb-boiler-21c2ef,toka3_waterwalls-f9709d,20190412-0ce8d9,0.221,0.18,0
Otter Tail Power Company,Coyote Power Station,Beulah,PC Boiler,pc-boiler-d88891,waterwalls-44c8e5,20190408-6ef89f,0.284,0.1988,0
Otter Tail Power Company,Coyote Power Station,Beulah,PC Boiler,pc-boiler-d88891,upper-arch-0a92f4,20190408-2a21cc,0.26,0.182,0
Otter Tail Power Company,Coyote Power Station,Beulah,PC Boiler,pc-boiler-d88891,lower-arch-9609c9,20190408-6b3f35,0.264,0.1848,0
Otter Tail Power Company,Coyote Power Station,Beulah,PC Boiler,pc-boiler-d88891,slopes-667b84,20190408-b0d27c,0.284,0.1988,0
Great River Energy,Coal Creek Station,Underwood,Unit 2,pc-boiler-bf6745,upper-arch-f90c18,20190404-b5c354,0.25,0.125,0
Great River Energy,Coal Creek Station,Underwood,Unit 2,pc-boiler-bf6745,waterwall-demo-acd028,20190404-d50eab,0.188,0.94,0
Evergy,Jeffrey Energy Center,Saint Marys,Unit 2,pc-boiler-037056,lower-slope-7dc953,20190326-fc801e,0.22,0.18,0
Southern Co,Plant Bowen,Cartersville,Unit 4,unit-4-676260,waterwalls-4e3b7c,20190322-7563a3,0.238,0.17,0
AEP,Conesville,Conesville,Unit 4,unit-4-f91b3d,lower-slopes-69d2a5,20190319-dd287e,0.203,0.159,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,waterwalls-6eb5a8,20190318-28ae1e,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,superheater-elements-a7998c,20190318-3a224b,0.17,0.13,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,evaporator-panels-a78ec1,20190318-13620f,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,boiler-roof-37d942,20190318-5316c5,0.26,0.234,0
AES,Tamuin - TEG,TamuÃ­n,Boiler 1B,boiler-1a-f3a553,waterwalls-e23354,20190311-d526d9,0.165,0.132,0
HECO,Kahe Power Plant,Kapolei,Unit 6,pc-boiler-d825d5,waterwalls-d282d2,20190310-86375a,0.203,0.15,0
HECO,Kahe Power Plant,Kapolei,Unit 6,pc-boiler-d825d5,lower-slopes-3c422c,20190310-d05cfa,0.203,0.15,0
CLP,Castle Peak Power Station,Hong Kong,Unit B2,unit-b2-260a0b,waterwalls-915ee1,20190226-123ece,0.275,0.23,0
ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,boiler-2-386985,waterwall-635ade,20190204-d08c55,0.24,0.1,0
ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,boiler-2-386985,division-wall-becbd7,20190206-d91636,0.24,0.19,0
ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,boiler-2-386985,bullnose-914e8e,20190206-7b2d77,0.28,0.192,0
AES,Ventanas,Pittsburgh,Unit 3,unit-3-d7d618,front-2afa4d,20190114-1d914e,0.3,0,0
Lansing Board of Water and Light,Erickson Power Station,Lansing,Unit 1,unit-1-2f7a66,waterwalls-d881b7,20181126-c25c8d,0.203,0.15,0
Lansing Board of Water and Light,Erickson Power Station,Lansing,Unit 1,unit-1-2f7a66,lower-slopes-3b326c,20181126-b7b036,0.203,0.15,0
Lansing Board of Water and Light,Erickson Power Station,Lansing,Unit 1,unit-1-2f7a66,division-wall-faca7c,20181126-f21948,0.203,0.15,0
Purdue University,Wade Utility Plant,West Lafayette,Unit 5,unit-5-49ecf3,waterwalls-320ab0,20181119-889ea0,0.18,0.135,0.02
CLP,Castle Peak Power Station,Hong Kong,Unit B3,unit-b3-b2c4c7,waterwalls-900ec6,20181105-23a07b,0.28,0.23,0
Nebraska Public Power District,Sheldon Power Station,Hallam,Boiler 1,boiler-1-87780b,lower-slope-1af8de,20181029-949de3,0.24,0.2,0
Nebraska Public Power District,Sheldon Power Station,Hallam,Boiler 1,boiler-1-87780b,waterwalls-fd4e09,20181029-ef0a03,0.165,0.146,0
Southern Co,Plant Gaston,Wilsonville,Unit 5,unit-5-8632ca,waterwalls-e60154,20181028-f8cbb4,0.238,0.166,0
Southern Co,Plant Gaston,Wilsonville,Unit 5,unit-5-8632ca,lower-slopes-456532,20181028-b16b2c,0.238,0.166,0
AES,Petersburg,Petersburg,Boiler U1,boiler-bb7dcf,waterwalls-c2a87e,20181024-f08f05,0.22,0.18,0
Southern Co,Plant Bowen,Cartersville,Unit 3,unit-3-2ec131,waterwalls-4cc190,20181012-ce779a,0.238,0.17,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,waterwalls-2ae2c0,20181008-76db11,0.21,0.15,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,wingwalls-2bcf71,20181008-eff850,0.21,0.15,0
Iowa State University,Iowa State University,Ames,Boiler 2,boiler-2-f796c5,waterwalls-598880,20181008-95ebc6,0.2,0.18,0
First Energy,Bruce Mansfield,Shippingport,Unit 3,unit-3-2e8253,lower-slopes-776ec7,20181007-b824f3,0.315,0.25,0
First Energy,Bruce Mansfield,Shippingport,Unit 3,unit-3-2e8253,side-wall-6d4f88,20181007-ab6eeb,0.27,0.225,0
Duke Energy,Cliffside,Mooresboro,Unit 6,unit-6-4ff210,waterwalls-3a874c,20181002-6204b4,0.224,0.125,0
Duke Energy,Cliffside,Mooresboro,Unit 6,unit-6-4ff210,spiral-waterwalls-72fdf9,20181002-0edcdd,0.343,0.26,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-1-2-3f0bc5,20180926-254609,0.195,0.125,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-3-205c2c,20180926-ca61af,0.195,0.125,0
First Energy,Harrison Power Station,Haywood,Demo Panel,demo-panel-ecb209,demo-panel-96ea73,20180913-9f2c07,0.203,0.07,0
Southern Minnesota Beet Sugar Cooperative,Renville,Renville,Boiler 20,boiler-20-48f8ca,super-heaters-31d1ba,20180725-440f1b,0.18,0.153,0
CLECO,Brame Energy Center,Lena,Boiler 32,boiler-32-9fb960,waterwalls-70114c,20180516-65bf95,0.25,0.2,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,waterwalls-6eb5a8,20180501-cd0660,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,superheater-elements-a7998c,20180501-50e698,0.17,0.13,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,evaporator-panels-a78ec1,20180501-bfe192,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,boiler-roof-37d942,20180501-9e52c4,0.26,0.234,0
East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 1,unit-1-92c17f,waterwalls-3a99bb,20180424-5a41f3,0.203,0.15,0
Southern Co,Plant Bowen,Cartersville,Unit 2,unit-2-d6bb3f,waterwalls-ba5c41,20180423-f78a24,0.268,0.17,0
Southern Co,Plant Bowen,Cartersville,Unit 2,unit-2-d6bb3f,division-wall-b7ac2e,20180424-beb1fa,0.238,0.17,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-1-2-3f0bc5,20180416-abc541,0.195,0.125,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,waterwalls-571769,20180416-12319e,0.26,0.065,0.075
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-3-205c2c,20180416-2118b9,0.195,0.125,0
Hallador Power Company,Merom Generating Station,Sullivan,Unit 1,unit-1-b4709b,waterwalls-ca4fd0,20180416-efbd35,0.35,0.13,0
Iowa State University,Iowa State University,Ames,Boiler 1,boiler-1-c46c45,waterwalls-ead658,20180412-94589a,0.225,0.15,0
AEP,Conesville,Conesville,Unit 6,unit-6-163c22,side-walls-d876f6,20180411-3dc995,0.22,0.18,0
CLP,Castle Peak Power Station,Hong Kong,Unit B1,unit-b1-7d747a,waterwalls-846aaf,20180410-f86f85,0.275,0.23,0
AEP,Conesville,Conesville,Unit 5,unit-5-b70b76,lower-slopes-f16d02,20180404-be2b58,0.265,0.134,0
AEP,Conesville,Conesville,Unit 5,unit-5-b70b76,waterwalls-c842b1,20180406-d909b9,0.265,0.1875,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,waterwalls-6eb75a,20180327-babe1a,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,superheater-elements-aa1f0e,20180327-52aa09,0.17,0.1485,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,evaporator-panels-0b33af,20180327-8a3cdc,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,boiler-roof-039fca,20180327-cf22b2,0.3,0.234,0
Hallador Power Company,Merom Generating Station,Sullivan,Unit 2,unit-2-cc04f4,right-wall-4ee870,20180312-e0450f,0.28,0.16,0
Hallador Power Company,Merom Generating Station,Sullivan,Unit 2,unit-2-cc04f4,left-wall-016813,20180312-5b9d1f,0.3,0.18,0
Southern Co,Plant Bowen,Cartersville,Unit 1,unit-1-44431e,waterwalls-10a514,20180217-181c5b,0.268,0.17,0
Southern Co,Plant Bowen,Cartersville,Unit 1,unit-1-44431e,division-wall-e286ac,20180217-11d514,0.25,0.18,0
Southern Co,Plant Bowen,Cartersville,Unit 3,unit-3-2ec131,lower-slopes-80fb4e,20180213-e225e7,0.238,0.17,0
Southern Co,Plant Bowen,Cartersville,Unit 3,unit-3-2ec131,upper-arch-85ae2f,20180125-514a8b,0.238,0.17,0
CLP,Castle Peak Power Station,Hong Kong,Unit B4,boiler-7c9eaa,waterwalls-6f71af,20180123-152fc9,0.28,0.23,0
Covanta,Haverhill,Haverhill,Boiler 1,boiler-ec4793,waterwalls-coating-thickness-db342b,20180110-d28267,0,10,0.085
Southern Co,Plant Bowen,Cartersville,Unit 1,unit-1-44431e,lower-slopes-fc5fee,20171128-9ee0a5,0.22,0.17,0
Southern Co,Plant Bowen,Cartersville,Unit 1,unit-1-44431e,bullnose-94b9e1,20171130-b77eb6,0.238,0.17,0
Southern Co,Plant Bowen,Cartersville,Unit 4,unit-4-676260,lower-slopes-afd602,20171120-1eb3c7,0.238,0.17,0
First Energy,Harrison Power Station,Haywood,Unit 1,unit-1-7ebc6a,waterwall-754ed3,20171104-39b30c,0.203,0.07,0
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,waterwalls-94d724,20171103-e6ba11,0.24,0.165,0
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,division-walls-551bb2,20171103-8bf789,0.24,0.168,0
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,wingwalls-a5793e,20171103-850446,0.24,0.168,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,waterwalls-2ae2c0,20171023-158e37,0.21,0.15,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,wingwalls-2bcf71,20171023-77fc27,0.21,0.15,0
Talen Energy,Colstrip,Colstrip,Boiler 1,unit-1-16558c,waterwalls-115d0f,20171018-b24ffd,0.22,0.15,0
CLECO,Brame Energy Center,Lena,Boiler 31,boiler-31-c16302,waterwalls-5e3a6c,20171012-3ee5d7,0.25,0.2,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,unit-2-2b2835,waterwalls-08309d,20170928-3f9322,0.25,0.15,0
Great River Energy,Spiritwood,Spiritwood,Boiler 1,boiler-1-ee54d2,waterwalls-32839e,20170914-b05e6e,0.24,0.17,0.015
Great River Energy,Spiritwood,Spiritwood,Boiler 1,boiler-1-ee54d2,division-walls-ae7e67,20170914-f3ed61,0.24,0.17,0.015
Archer Daniels Midland (ADM),Cedar Rapids,Cedar Rapids,Boiler 1,boiler-1-15ba41,waterwalls-a621d1,20170820-59ca5f,0.23,0.17,0.025
Archer Daniels Midland (ADM),Cedar Rapids,Cedar Rapids,Boiler 1,boiler-1-15ba41,wingwalls-494b3f,20170820-db2009,0.23,0.17,0.025
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 1,unit-1-12a6a5,coutant-slopes-33dff6,20170523-1948fb,0.284,0.109,0
Hallador Power Company,Merom Generating Station,Sullivan,Unit 1,unit-1-b4709b,waterwalls-ca4fd0,20170515-14f248,0.35,0.13,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,waterwalls-6eb5a8,20170501-d06a6c,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,superheater-elements-a7998c,20170502-98bade,0.17,0.13,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,evaporator-panels-a78ec1,20170502-3233b3,0.3,0.234,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-1-2-3f0bc5,20170427-4b31bf,0.195,0.125,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,waterwalls-571769,20170427-cc80b8,0.26,0.065,0.075
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-3-205c2c,20170425-33a954,0.195,0.125,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,waterwalls-6eb75a,20170327-f1495d,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,superheater-elements-aa1f0e,20170327-53a53b,0.17,0.1485,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,evaporator-panels-0b33af,20170327-c7bcea,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,unit-2-2b2835,north-coutant-slope-4016ef,20170316-e4aa87,0.25,0.109,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,unit-2-2b2835,south-coutant-slope-bd2689,20170317-e033fe,0.25,0.109,0
Vistra Luminant Energy,Sandow,Rockdale,Boiler 5A,boiler-5a-1270d5,waterwalls-e99901,20170311-e152db,0.23,0.17,0.03
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,waterwalls-2ae2c0,20161025-3219a1,0.21,0.15,0
University of North Carolina (UNC),Chapel Hill,Chapel Hill,Boiler 6 - 2016,boiler-6-0f5b4b,waterwalls-c2564d,20160914-808361,0.25,0.15,0
University of North Carolina (UNC),Chapel Hill,Chapel Hill,Boiler 7 - 2016,boiler-7-2016-5a769f,waterwalls-ff4abb,20160414-c08dfd,0.25,,
