entry.tags.unit,bins_collected,Bins w 40% Loss
617-demo-ef0be1,15402,0
ahe-1600-2p-ln-b5e58e,1636,5
andrew-buckart-7e8ba4,112,0
anson-reppermund-2c7dfc,216,0
aux-boiler-bea8e7,3141,0
bfb-boiler-bcb7fc,1884,0
bfb-boiler-e32713,13882,0
bfb-boiler-fd3867,37588,0
boiler-1-15ba41,4088,0
boiler-1-18ec02,97514,124
boiler-1-412550,1681,276
boiler-1-4c0b02,2984,16
boiler-1-6c6f99,77342,54
boiler-1-87780b,5905,0
boiler-1-c46c45,11180,71
boiler-1-ee54d2,113530,403
boiler-1-ef6b14,57955,8785
boiler-1-f39cd5,5089,3
boiler-10-7055ca,381163,100
boiler-1a-f3a553,15819,0
boiler-2-386985,46129,471
boiler-2-f796c5,11956,1
boiler-2-fb800f,31217,0
boiler-20-48f8ca,2919,0
boiler-31-c16302,34123,0
boiler-32-9fb960,28611,0
boiler-5008b6,664,0
boiler-5a-1270d5,24787,0
boiler-6-21a474,14240,0
boiler-7-224f9b,14052,0
boiler-7-49bbd7,14341,2548
boiler-7-98142b,28173,4223
boiler-7c9eaa,14869,0
boiler-81c7b7,2852,1
boiler-a-934982,32593,38
boiler-a-99f927,29849,1004
boiler-ab-8301-2a5ee9,3470,0
boiler-b-2a16ff,32131,32
boiler-bb7dcf,50447,38
boiler-demo-390391,4417,0
boiler-demo-ec5b14,8241,0
boiler-dfb229,37080,0
boiler-e3edde,3519,0
boiler-e6fc75,15528,0
boiler-ec4793,7883,0
boiler-f04f61,11569,0
boiler-u2-774f1a,69008,47
boiler-unit-20-a9c88c,11649,636
burner-3-222b0d,2703,647
cfb-1-12ae53,5013,0
cfb-1-9a84a7,54538,0
cfb-2-532d0d,10067,4
cfb-2-f03951,55175,2
cfb-boiler-107a0f,13708,24
cfb-boiler-1a-4e3871,15154,0
cfb-boiler-21c2ef,6294,0
cfb-boiler-581f83,12347,0
cfb-boiler-62f040,54345,12
cfb-boiler-65a882,14258,35
cfb-boiler-67bbe8,45773,2
cfb-boiler-757c38,28624,1
cfb-boiler-c65900,14404,26
cfb-boiler-demo-87b6ff,111120,1
cfb-boiler-fed672,63046,463
cfb-boiler-no2-95a7d1,65811,0
cfb-unit-7b9b99,25011,110
co-boiler-5c92c9,13165,0
coal-boiler-44f314,4743,0
cross-unit-4-waterwalls-4d6eac,25521,363
cta-6b0ed5,43550,0
cth-46288c,43840,0
darin-neely-1c17b1,226,0
demo-panel-a56682,117,0
demo-panel-e46dac,1698,0
demo-panel-ecb209,201,3
ecgs-unit-4-e08058,14363,0
econo-sb-a-120-mw-251-777b8d,560,0
econo-sb-g-120-mw-307-4bcba2,2140,0
econo-sb-h-120-mw-308-9af5ad,4911,0
econo-top-south-120-mw-361-a628b5,4574,0
economizer-580e61,7517,0
economizer-f495a7,1437,2
economizer-tube-bank-70a22d,12215,6
eric-thiessen-cc19c5,204,0
evan-meadows-9203b9,104,0
fs-waste-heat-boiler-341404,3302,0
furnace-4-d86c20,4281,0
furnace-5-880377,4403,2
gecko-cfb-boiler-demo-dcaa20,54468,0
gp-unit-8-6bcffe,4901,0
hoosier_waterwalls-ea9153,580,452
jason-tomlinson-200884,207,0
josh-semenko-3de835,211,0
k11-pc-boiler-bb15bb,13231,0
kyler-chrestay-bec179,210,1
lower-slopes-41bae4,93324,97
ops-waterwalls-4c53c4,329,0
paut-93c6bb,7025,68
pc-boiler-037056,7093,0
pc-boiler-0ccf59,13689,0
pc-boiler-42f77e,4407,256
pc-boiler-bf6745,38306,5964
pc-boiler-d825d5,15621,0
pc-boiler-d88891,62335,14
pc-boiler-k10-df7a4e,12455,88
power-boiler-1-c2d297,2040,0
power-boiler-1-f9dd37,2114,1592
power-boiler-2-cfb-428a56,1436,0
power-boiler-2-cfb-4e09bf,11999,0
power-boiler-2-cfb-656f49,1449,0
power-boiler-2-cfb-fa261a,14884,0
power-boiler-738a14,5061,0
power-boiler-b78be6,3398,0
power-boiler-f9d26b,2763,0
recovery-boiler-0c4d6c,34277,0
recovery-boiler-3-a6055c,64695,654
recovery-boiler-4a3186,2854,0
recovery-boiler-7865a8,1915,0
recovery-boiler-bce114,26389,225
recovery-boiler-f39844,15899,0
recovery-boiler-f4ad2f,163463,2
reheat-unit-bfb08b,23323,2
s2-1466f5,12850,1
sample-boiler-tubes-8da9e3,656,0
scattergood-u2-5a1562,19126,2
sfw-biomass-boiler-efcbd4,30469,0
sg-201-cfb-boiler-fb7406,21088,0
smelter-boiler-0fa45c,3125,103
stanley-inspections-wf-131-625f10,1287,0
superheat-unit-823dc9,31278,0
tk-111-suction-line-cb20f2,44,0
toka-3-vs-4-test-ignacio-e166e8,936,0
tube-sample-demo-aae0f8,67,12
tvi-unit-2-c24afb,51890,0
u1-boiler-10231f,32106,1
unit-1-018baa,51480,0
unit-1-098237,114358,219
unit-1-0b72c8,26108,0
unit-1-12a6a5,35575,0
unit-1-164fde,30518,920
unit-1-16558c,162,0
unit-1-1963aa,8697,0
unit-1-19ed84,30518,920
unit-1-2f0456,218863,305
unit-1-2f7a66,31965,0
unit-1-3a5ca4,8712,26
unit-1-44431e,302848,995
unit-1-4544f6,29025,14
unit-1-4a5d50,15196,92
unit-1-54d8ab,65434,97
unit-1-551c91,20292,199
unit-1-59af1a,12117,20
unit-1-608747,84669,0
unit-1-60a8c7,40381,0
unit-1-6db4d8,18417,0
unit-1-7453ff,42382,350
unit-1-78992a,168806,13
unit-1-7ebc6a,3380,2184
unit-1-80b8a9,36780,395
unit-1-88d259,7575,0
unit-1-8ae20c,44004,0
unit-1-8cf440,181302,8294
unit-1-92c17f,40196,103
unit-1-a78e3d,9162,54
unit-1-b2e9d5,2316,0
unit-1-b4709b,40201,9081
unit-1-be0ff4,40161,941
unit-1-boiler-fc4ce3,21904,351
unit-1-c53151,25817,45
unit-1-c96e0f,15828,0
unit-1-ca4ee9,20857,6
unit-1-cfb-fe9a31,42580,9
unit-1-dcc942,27346,0
unit-1-demo-256efe,63,0
unit-1-demo-6f9af6,49,0
unit-1-eb5fe4,57196,0
unit-10-1e903f,2533,63
unit-10-5b3dfa,62400,4480
unit-120-b7adc8,70407,0
unit-121-2d2a42,16074,16
unit-122-be59ec,9402,0
unit-2-0c8b22,4468,0
unit-2-0d40cc,219281,35
unit-2-2b2835,171524,4499
unit-2-348d07,20416,225
unit-2-389961,42571,1
unit-2-3cfa1a,68039,15
unit-2-57951f,38801,114
unit-2-62d140,9285,8
unit-2-6821e3,66660,763
unit-2-6d0317,44377,299
unit-2-6e8386,38840,71
unit-2-72d1be,81853,0
unit-2-750380,6852,1
unit-2-85d197,112618,1759
unit-2-871a54,32022,0
unit-2-939dd9,58398,19
unit-2-99a630,13869,0
unit-2-boiler-0bea2c,47878,4590
unit-2-boiler-0cedf7,80859,11
unit-2-c747aa,17058,0
unit-2-c9f385,38840,71
unit-2-ca55d4,72061,40
unit-2-cc04f4,34548,7873
unit-2-cdf567,14418,0
unit-2-d6bb3f,247387,1391
unit-2-e09105,115323,0
unit-2-f0ccaf,21562,0
unit-3-2e8253,2855,32
unit-3-2ec131,192715,346
unit-3-54779f,117555,42
unit-3-576a42,37679,13
unit-3-63885e,15985,0
unit-3-67c2d7,14933,1
unit-3-768d7d,77628,10
unit-3-89302f,8837,1
unit-3-937755,383612,1
unit-3-bc5106,15890,0
unit-3-bc8635,30860,3
unit-3-boiler-043d04,36783,2545
unit-3-boiler-083936,21944,25
unit-3-boiler-253e7f,25292,17
unit-3-d7d618,49186,0
unit-3-e43a85,230631,36
unit-3-e98eb7,143999,129
unit-31-0ddd82,73016,0
unit-4-410c39,17272,0
unit-4-5c6ce2,468554,5
unit-4-676260,361812,55
unit-4-boiler-48c567,201086,141
unit-4-boiler-74384c,3079,34
unit-4-boiler-7593e8,13963,407
unit-4-dee39b,12339,0
unit-4-division-wall-eee651,5424,24
unit-4-f91b3d,40745,72
unit-4-f92a83,39446,4
unit-4-fddcaa,15369,0
unit-4-lower-slopes-298f47,20878,15
unit-5-03e8e6,23411,4
unit-5-21f78d,120534,93
unit-5-49ecf3,39221,342
unit-5-8632ca,326331,45
unit-5-b12a39,40657,1
unit-5-b70b76,16140,383
unit-5-e32a1e,90937,95
unit-5-e5f441,17567,13
unit-6-0dff35,97503,217
unit-6-0f16c9,89035,0
unit-6-163c22,21714,0
unit-6-1c3c83,9222,1
unit-6-4ff210,10484,0
unit-60-b21b04,3745,2
unit-7-18512e,88421,174
unit-7-2f3456,83294,116
unit-b-7e142f,1198,197
unit-b-a1005a,28738,401
unit-b1-7d747a,31957,0
unit-b2-260a0b,29689,0
unit-b3-b2c4c7,23742,0
unit-e8a079,18657,0
unit-fd4-748d4e,5590,2
waste-boiler-94a0bf,5595,1020
waste-kiln-0fb309,2166,0
waterwalls-393f7d,20493,1
waterwalls-4964a2,82364,3197
waterwalls-898ecc,1000,184
waterwalls-b959d6,8990,0
waterwalls-e3923d,1549,0
waterwalls-f28e4c,43289,0
zach-mussey-06cc33,106,0
